hinc,unemployed,age,married,migback,health,happiness
3482,0,76,1,0,8,8
3482,0,75,1,0,9,8
3482,0,51,0,0,10,8
3957,0,46,1,0,10,8
4000,0,55,0,0,9,9
6200,0,58,0,0,2,6
2800,0,27,0,0,7,8
1100,0,26,0,0,8,6
2800,0,18,0,0,5,8
7400,0,71,1,0,9,8
7400,0,75,1,0,7,7
7400,0,49,0,0,10,8
2500,0,61,1,0,7,8
2500,0,60,1,0,5,8
2500,0,26,0,0,9,9
3300,0,55,1,0,8,9
3300,0,56,1,0,5,7
3300,0,23,0,0,9,8
3100,0,58,1,0,8,9
2300,1,38,0,0,7,7
3568,0,36,1,0,8,7
NA,0,52,1,0,7,6
3500,0,71,1,0,4,6
1950,0,63,1,0,2,5
1750,0,85,0,0,3,5
1750,0,45,0,0,3,4
3250,0,56,0,0,6,7
1000,0,73,0,0,4,7
1900,0,51,0,0,2,5
1700,0,71,1,0,8,7
1700,0,33,0,0,8,3
1700,0,66,1,0,8,7
NA,0,66,1,0,5,6
NA,0,64,1,0,0,1
2000,0,43,1,0,10,10
583,1,34,0,0,0,5
3400,0,36,0,0,7,8
1800,0,66,1,0,6,8
3600,0,63,1,0,3,6
3600,0,61,1,0,5,6
4400,0,68,1,1,5,7
4400,0,63,1,0,8,9
8500,0,33,0,1,10,10
2600,0,31,1,1,7,8
1200,0,56,1,0,3,4
1200,0,60,1,1,4,5
1432,0,30,0,0,7,7
2200,0,27,0,0,7,6
4500,0,69,1,0,7,8
4500,0,61,1,0,9,8
2700,0,66,1,1,7,8
2700,0,63,1,1,5,6
1200,1,54,0,0,4,8
3200,0,34,1,0,8,8
2140,0,30,1,0,9,8
1200,0,21,0,0,8,7
NA,0,65,1,0,8,8
NA,0,65,1,0,8,9
5000,0,66,1,0,2,9
5000,0,63,1,0,1,3
2400,0,71,1,1,10,7
2400,0,74,1,0,8,8
2800,0,58,0,0,5,8
3000,0,44,1,0,6,7
1800,0,80,1,0,5,8
1800,0,77,1,0,3,7
3700,0,62,1,0,8,8
3700,0,56,1,0,6,7
3700,0,23,0,0,9,8
3714,0,78,1,0,2,4
3714,0,76,1,0,8,8
3750,0,47,1,0,7,7
1900,0,66,0,0,7,8
3150,0,34,1,0,6,8
1600,0,73,1,0,7,6
1600,0,71,1,0,6,8
5000,0,51,1,0,6,7
1400,0,66,0,0,8,8
1800,0,34,0,0,5,7
1813,0,27,0,0,4,4
3000,0,64,1,0,5,8
3000,1,59,1,0,0,7
5000,0,59,1,0,5,7
2200,0,90,0,0,6,6
400,0,60,0,0,6,5
700,0,85,0,0,2,6
6000,0,50,1,0,8,5
3500,0,57,0,0,5,4
3500,0,21,0,0,9,8
4400,0,41,0,0,8,7
3500,0,72,0,0,6,7
3500,0,66,0,0,7,8
2800,0,86,0,0,7,9
NA,0,75,0,1,3,5
6000,0,59,0,0,9,7
2750,0,26,0,0,9,8
6000,0,23,0,0,8,7
5500,0,57,1,0,3,3
5500,0,53,1,0,5,6
3100,0,60,1,0,7,9
3100,0,71,1,1,4,5
3268,0,85,0,0,8,9
3268,0,85,0,0,8,8
NA,0,59,1,0,7,9
NA,0,52,1,0,7,7
NA,0,27,0,0,9,8
NA,0,84,0,0,5,5
5800,0,51,1,0,7,8
1700,0,48,0,0,10,7
1200,0,50,0,0,7,8
4100,0,53,1,0,9,8
5400,0,65,0,0,8,7
1262,1,57,1,1,5,6
1262,0,52,1,0,2,3
725,1,30,0,1,7,7
900,0,77,0,0,5,8
1000,0,67,0,0,1,5
2900,0,52,1,0,2,7
2300,0,72,1,0,7,7
10000,0,50,1,0,7,9
5000,0,47,1,0,8,9
2700,0,65,1,0,6,8
2700,0,66,1,0,5,8
2000,0,45,0,0,10,6
15000,0,32,1,0,7,7
3500,0,66,1,0,8,9
3500,0,62,1,0,8,10
5500,0,41,1,0,8,8
3000,0,40,0,0,8,8
1190,1,58,1,0,0,1
1190,1,61,1,0,7,5
2100,0,64,0,0,6,7
2635,0,59,0,1,5,8
3325,0,77,0,0,5,10
NA,0,51,1,0,8,9
3500,0,66,1,0,7,9
3500,0,65,1,0,4,4
2600,0,79,0,0,8,8
3000,0,47,0,1,4,6
6012,0,71,1,0,6,8
6012,0,72,1,0,8,7
6012,0,35,0,0,7,7
4400,0,53,0,1,8,8
1264,0,78,0,0,6,8
4200,0,76,1,0,3,8
7000,0,37,1,0,8,8
1200,0,63,0,0,7,7
3370,0,60,0,1,6,8
3700,0,27,0,1,6,8
1200,0,24,0,1,8,6
1719,0,80,0,0,7,7
1906,0,86,0,0,7,9
2250,0,76,0,0,5,7
5500,0,49,1,0,7,8
1300,1,62,1,0,1,2
1300,0,62,1,0,3,6
1300,0,58,0,0,8,3
3500,0,45,1,0,7,8
1350,0,70,0,1,10,9
1677,0,79,0,0,8,7
3500,0,59,1,0,7,8
3500,0,67,1,0,5,7
3500,0,19,0,0,8,8
3170,0,65,1,0,7,7
1900,0,73,1,0,9,10
1900,0,72,1,0,9,9
3900,0,50,1,0,7,7
2850,0,43,1,0,8,7
NA,0,36,0,0,8,8
935,0,85,0,1,2,8
2860,0,59,0,1,5,5
2000,0,57,0,0,5,7
3600,0,30,1,0,7,8
2860,0,86,0,0,2,5
3000,0,43,0,0,7,7
