unemployed,educ,health,age,female,migback
0,10.5,6,76,0,0
0,10.5,9,74,1,0
0,11.5,10,49,0,0
0,18,7,29,0,0
0,12,9,69,0,0
0,12,9,67,1,0
0,16,8,41,0,0
0,10.5,6,54,0,0
0,10.5,5,53,1,0
0,11.5,8,77,0,0
0,14.5,0,75,0,0
0,10.5,7,71,1,0
0,13.5,9,32,0,0
0,11.5,6,56,1,0
0,10.5,8,76,0,0
0,10.5,9,75,1,0
0,11.5,10,51,0,0
0,11.5,10,46,0,0
0,12,9,55,1,0
0,18,2,58,0,0
0,NA,7,27,0,0
0,13,8,26,0,0
0,NA,5,18,1,0
0,10.5,9,71,0,0
0,10.5,7,75,1,0
0,13.5,10,49,0,0
0,18,7,61,0,0
0,15,5,60,1,0
0,13,9,26,0,0
0,11.5,8,55,0,0
0,13,5,56,1,0
0,NA,9,23,0,0
0,12,8,58,1,0
1,9,7,38,1,0
0,16,8,36,0,0
0,11.5,7,52,1,0
0,10.5,4,71,0,0
0,11,2,63,0,0
0,10.5,3,85,1,0
0,10.5,3,45,1,0
0,18,6,56,1,0
0,9,4,73,1,0
0,10.5,2,51,0,0
0,11,8,71,0,0
0,NA,8,33,1,0
0,10.5,8,66,1,0
0,9,5,66,0,0
0,9,0,64,1,0
0,NA,10,43,1,0
1,10.5,0,34,1,0
0,14.5,7,36,0,0
0,7,6,66,0,0
0,18,3,63,0,0
0,12,5,61,1,0
0,18,5,68,0,1
0,11,8,63,1,0
0,18,10,33,0,1
0,NA,7,31,0,1
0,12,3,56,1,0
0,10.5,4,60,0,1
0,13.5,7,30,0,0
0,14.5,7,27,1,0
0,11,7,69,0,0
0,12,9,61,1,0
0,11,7,66,0,1
0,14,5,63,1,1
1,10,4,54,1,0
0,NA,8,34,1,0
0,12,9,30,1,0
0,11,8,21,0,0
0,16,8,65,0,0
0,12,8,65,1,0
0,18,2,66,0,0
0,16,1,63,1,0
0,10.5,10,71,0,1
0,11.5,8,74,1,0
0,18,5,58,1,0
0,11.5,6,44,0,0
0,10.5,5,80,0,0
0,10.5,3,77,1,0
0,10.5,8,62,0,0
0,11.5,6,56,1,0
0,13,9,23,1,0
0,18,2,78,0,0
0,11.5,8,76,1,0
0,16,7,47,0,0
0,10,7,66,1,0
0,12,6,34,0,0
0,10.5,7,73,0,0
0,10.5,6,71,1,0
0,18,6,51,0,0
0,11,8,66,0,0
0,NA,5,34,1,0
0,18,4,27,1,0
0,10.5,5,64,0,0
1,11.5,0,59,1,0
0,18,5,59,0,0
0,9,6,90,1,0
0,18,6,60,1,0
0,9,2,85,1,0
0,15,8,50,0,0
0,11.5,5,57,0,0
0,13,9,21,0,0
0,14.5,8,41,0,0
0,11,6,72,0,0
0,11,7,66,1,0
0,11,7,86,1,0
0,15,3,75,0,1
0,18,9,59,1,0
0,18,9,26,1,0
0,13,8,23,0,0
0,11.5,3,57,0,0
0,12,5,53,1,0
0,11.5,7,60,1,0
0,9,4,71,0,1
0,11.5,8,85,0,0
0,10.5,8,85,1,0
0,12,7,59,0,0
0,10.5,7,52,1,0
0,14,9,27,1,0
0,NA,5,84,1,0
0,14,7,51,0,0
0,NA,10,48,0,0
0,13.5,7,50,0,0
0,14,9,53,1,0
0,18,8,65,0,0
1,11.5,5,57,0,1
0,10,2,52,1,0
1,NA,7,30,0,1
0,10.5,5,77,1,0
0,15,1,67,0,0
0,18,2,52,0,0
0,11,7,72,0,0
0,18,7,50,1,0
0,14.5,8,47,0,0
0,10.5,6,65,0,0
0,10.5,5,66,1,0
0,11.5,10,45,1,0
0,12,7,32,1,0
0,10.5,8,66,0,0
0,10.5,8,62,1,0
0,11.5,8,41,1,0
0,13.5,8,40,1,0
1,10.5,0,58,0,0
1,10.5,7,61,1,0
0,11.5,6,64,1,0
0,16,5,59,0,1
0,11.5,5,77,1,0
0,18,8,51,0,0
0,11,7,66,0,0
0,10.5,4,65,1,0
0,10.5,8,79,1,0
0,10,4,47,1,1
0,16,6,71,0,0
0,13,8,72,1,0
0,18,7,35,1,0
0,18,8,53,0,1
0,9,6,78,1,0
0,18,3,76,0,0
0,18,8,37,0,0
0,10.5,7,63,1,0
0,16,6,60,0,1
0,12,6,27,1,1
0,10,8,24,0,1
0,11.5,7,80,0,0
0,10.5,7,86,0,0
0,11.5,5,76,1,0
0,18,7,49,1,0
1,12,1,62,0,0
0,12,3,62,1,0
0,13.5,8,58,0,0
0,11.5,7,45,1,0
0,9,10,70,1,1
0,12,8,79,0,0
0,12,7,59,1,0
0,11.5,5,67,0,0
0,10,8,19,0,0
0,11.5,7,65,0,0
0,12,9,73,1,0
0,11,9,72,0,0
0,11.5,7,50,1,0
0,11.5,8,43,0,0
0,13,8,36,0,0
0,14.5,2,85,0,1
0,18,5,59,0,1
0,11,5,57,1,0
0,11.5,7,30,1,0
0,10.5,2,86,1,0
0,18,7,43,1,0
0,18,7,57,1,1
0,18,5,56,0,0
0,13,8,24,0,0
0,8.5,9,50,1,0
0,18,8,65,0,0
0,14,5,60,1,0
0,11.5,3,29,1,0
0,11,8,74,0,0
0,11.5,8,73,1,0
0,10.5,8,47,0,0
0,11.5,5,54,0,1
0,18,7,62,0,0
0,11,7,70,0,0
0,11,7,68,1,0
0,11.5,7,52,0,0
0,11.5,7,46,0,0
0,10.5,2,89,0,0
0,9,7,86,1,0
0,10.5,6,75,0,0
0,11.5,4,61,0,0
0,11.5,7,59,1,0
0,12,8,37,1,0
0,15,9,51,1,0
0,11.5,8,49,1,0
0,NA,NA,17,1,1
0,10.5,8,57,1,0
0,10.5,2,82,0,0
0,9,6,81,1,0
0,14.5,3,49,1,0
0,10.5,7,88,0,0
0,10.5,6,81,1,0
0,11.5,7,52,0,0
0,10,3,73,1,0
0,18,4,50,0,0
0,11.5,6,64,1,0
0,18,10,82,0,0
0,11.5,7,64,0,0
0,11.5,4,55,1,0
0,10.5,6,35,0,1
0,11.5,6,79,0,0
0,11.5,7,76,1,0
0,9,1,91,1,1
0,9,7,85,1,0
0,10.5,8,66,0,1
0,12,8,63,1,0
0,10.5,6,42,0,1
0,13.5,9,48,0,0
0,15,9,72,0,0
0,18,4,52,1,0
0,10.5,8,70,0,0
0,11.5,8,67,1,0
0,18,6,43,1,0
0,18,8,71,0,0
0,17,8,65,1,0
0,18,9,35,0,0
0,10,7,48,0,0
0,NA,7,56,1,0
0,10.5,1,78,0,0
0,10,5,82,1,1
0,7,7,50,0,1
0,16,7,44,1,0
0,18,3,51,0,1
0,10.5,8,76,0,0
0,10.5,10,67,1,0
0,11.5,9,42,0,0
0,10.5,5,65,0,0
0,9,3,65,1,1
1,11.5,6,43,1,0
0,9,5,80,0,0
0,9,8,55,0,0
0,11.5,7,47,0,0
0,11,5,81,0,0
0,11,9,73,0,0
0,9,7,74,1,0
0,16,8,43,0,0
0,15,8,47,0,0
0,10.5,3,59,0,0
0,10,6,49,0,0
0,9,6,76,0,0
0,9,8,66,1,0
0,9,5,91,1,0
0,10.5,5,59,0,1
0,11.5,10,64,1,0
0,10.5,7,74,0,0
0,10.5,7,70,1,0
0,12,6,42,0,0
0,11.5,7,59,0,0
0,11.5,0,55,1,0
0,10.5,5,64,0,0
0,11.5,8,31,1,0
0,10.5,5,59,1,1
0,9,8,39,1,1
0,10.5,6,37,1,1
1,11,9,34,0,1
0,9,9,58,0,0
0,9,6,54,1,0
0,NA,1,73,0,0
0,10.5,6,66,1,0
0,10.5,6,80,0,0
0,18,8,58,0,0
0,18,8,58,1,0
0,9,4,92,1,0
0,10.5,8,54,0,0
0,11.5,5,47,1,0
0,10.5,3,79,1,1
0,18,8,53,0,1
0,11.5,9,53,1,0
0,9,3,75,1,0
1,11,7,54,0,1
0,10.5,8,47,0,1
0,11.5,8,62,0,0
0,12,9,59,1,0
0,NA,9,29,1,0
0,9,8,76,0,0
0,9,5,69,1,0
0,10.5,7,79,1,0
0,10.5,7,76,0,0
0,10.5,8,76,1,0
0,18,8,54,0,0
0,9,5,74,0,0
0,9,6,78,1,0
0,11.5,8,44,0,0
0,16,7,60,0,0
1,9,9,60,1,0
1,10.5,2,61,0,0
0,10.5,7,90,0,0
0,9,7,81,1,0
0,10.5,7,49,0,0
0,10.5,5,82,1,0
0,11,4,53,1,0
0,12,8,78,1,0
0,11,4,73,1,0
0,14.5,6,47,0,0
0,12,5,52,1,0
0,11,8,55,0,0
0,12,8,55,1,0
0,9,10,41,1,0
0,11.5,8,62,0,0
0,10.5,8,59,1,0
0,14,7,49,0,0
0,10,7,62,1,0
0,18,6,36,0,0
0,11.5,8,67,0,0
0,10.5,8,68,1,1
0,15,8,63,1,0
0,11,5,76,0,0
0,10.5,5,76,1,1
0,7,3,49,1,1
0,NA,10,27,1,0
0,18,6,63,1,0
0,14,7,66,0,0
0,12,3,54,1,1
0,18,8,29,1,0
0,NA,9,27,0,0
0,11,5,75,0,0
0,10.5,7,74,1,0
0,16,8,41,0,0
0,9,3,81,1,0
0,17,7,41,0,0
0,12,8,48,0,1
0,11.5,7,44,1,1
0,12,8,36,1,0
0,18,9,37,1,0
0,10.5,0,58,1,1
0,11,4,22,0,1
0,11.5,6,56,0,1
0,11,6,59,1,1
0,15,6,86,0,0
0,11,6,81,1,0
0,9,8,75,0,0
0,9,1,72,1,0
0,10,8,47,1,0
0,14,8,56,0,0
0,11,4,67,1,0
0,18,8,46,0,0
0,11,8,39,1,0
0,10.5,5,74,1,0
0,12,7,48,0,0
0,12,8,49,1,0
0,18,7,50,0,0
0,10.5,3,51,0,0
0,10.5,7,82,1,1
0,11.5,7,53,1,0
0,10.5,5,51,0,0
0,14.5,7,27,0,0
1,11,7,49,1,0
0,14.5,7,47,0,1
0,15,7,50,1,0
0,18,8,55,1,0
0,18,7,64,0,0
0,14.5,8,25,0,0
0,10.5,8,46,0,0
0,18,8,57,0,0
0,18,8,52,1,0
0,13,10,20,0,0
0,NA,8,18,0,0
0,11,9,59,0,0
0,11,5,54,1,0
0,14.5,4,24,0,0
0,10.5,7,67,0,0
0,9,8,65,1,0
0,10.5,9,80,1,0
0,14,7,56,0,1
0,11,3,68,1,0
0,15,8,46,0,0
0,15,9,56,0,0
0,16,10,24,0,0
0,9,5,56,0,0
0,11,7,54,0,0
0,13.5,5,51,1,1
0,15,5,77,1,0
0,11.5,5,61,1,0
0,10,5,68,1,1
0,10.5,8,64,0,0
0,11,7,59,1,1
0,15,7,33,1,0
0,NA,7,31,0,0
0,9,3,76,0,0
0,NA,7,76,1,0
0,10.5,7,77,0,0
0,10.5,5,76,1,0
0,10.5,9,42,0,1
0,9,5,92,1,0
0,10.5,7,60,0,0
0,10.5,6,63,0,0
0,9,9,69,0,0
0,12,6,66,1,0
0,14.5,9,59,1,0
0,11.5,8,47,0,0
0,17,8,46,0,0
0,9,7,85,1,0
0,10.5,7,55,0,0
0,10.5,4,49,0,0
0,14,6,53,1,0
0,11.5,9,28,0,0
0,10.5,5,60,0,0
0,12,7,58,1,0
0,14.5,8,35,1,0
0,11,7,58,0,0
0,10.5,8,56,0,0
0,10.5,5,55,1,0
0,10.5,9,64,1,1
0,9,6,80,1,0
0,10.5,5,72,0,0
0,9,7,70,1,0
0,18,8,38,1,0
0,15,5,31,1,0
0,10,3,52,1,0
0,11.5,8,54,1,0
0,11.5,6,62,0,1
0,11.5,5,52,1,0
0,18,3,27,1,0
0,NA,6,25,1,0
0,11.5,5,68,0,0
0,10,4,67,1,0
0,13,6,47,1,0
0,11.5,6,52,0,0
0,10.5,10,51,1,0
0,11,0,51,0,0
0,10.5,3,46,1,0
0,11,5,45,1,0
0,12,9,70,1,0
0,10.5,8,86,0,0
0,9,4,85,1,0
0,18,8,71,1,0
0,14,6,76,1,0
0,14.5,8,66,0,0
0,10.5,9,66,0,0
0,10.5,7,65,1,0
0,13,5,71,0,1
0,11.5,8,68,1,0
0,18,6,30,1,1
0,13,4,73,0,0
0,14.5,7,56,1,0
0,18,7,55,0,1
0,13,10,20,1,1
0,11.5,2,62,0,0
0,18,8,68,1,0
0,15,7,80,1,0
0,10.5,5,86,0,0
0,18,8,51,0,0
0,10.5,8,67,1,0
0,12,8,51,1,1
0,18,5,48,0,0
0,18,7,74,0,0
0,11.5,7,70,1,0
0,18,1,77,0,0
0,18,7,39,1,0
0,18,8,36,1,0
0,12,3,84,0,1
0,10.5,3,74,1,0
0,18,8,43,0,1
0,11.5,9,50,1,0
0,13,NA,71,0,1
0,11.5,4,50,1,0
0,11.5,3,69,0,0
0,10.5,7,69,1,1
0,10.5,7,46,1,0
0,15,7,82,0,0
0,12,4,75,1,0
0,18,9,50,1,0
0,18,4,46,1,0
0,11,2,83,0,1
0,11,3,81,0,0
0,10.5,4,80,1,1
0,18,8,52,0,0
0,15,8,46,0,0
0,12,4,70,0,0
0,10.5,6,64,1,0
0,10.5,7,32,0,0
0,18,8,55,1,0
0,18,8,55,0,0
0,13,9,24,1,0
0,NA,9,18,1,0
0,11,5,61,0,0
0,10.5,9,66,1,0
0,13.5,3,39,1,0
0,18,2,69,0,0
0,11.5,6,61,1,0
0,9,6,77,1,0
0,10.5,5,52,1,0
0,11.5,8,33,1,0
0,10.5,8,84,0,0
0,9,7,76,1,0
0,10,8,47,1,0
0,11.5,9,46,0,0
0,11,5,73,1,0
0,10,8,51,0,0
0,12,7,50,1,0
0,10.5,4,83,0,0
0,10.5,6,50,0,0
0,11,6,45,0,0
0,11,2,72,0,1
0,11,6,66,1,0
0,12,4,48,0,0
0,11,6,46,0,0
0,10.5,4,73,0,0
